station	website	city	state	broadcaster	source	collection_date
KBVO	kbvotv.com	Austin	TX	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KLAS	lasvegasnow.com	Las Vegas	NV	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WOOD	woodtv.com	Grand Rapids	MI	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WOTV	wotv4women.com	Grand Rapids	MI	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WXSP-CD	wotv4women.com	Grand Rapids	MI	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WIAT	cbs42.com	Birmingham	AL	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WHTM	abc27.com	Harrisburg	PA	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KRQE	krqe.com	Albuquerque	NM	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KBIM	krqe.com	Albuquerque	NM	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KREZ	krqe.com	Albuquerque	NM	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KWBQ	kwbq.com	Albuquerque	NM	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KASY	kwbq.com	Albuquerque	NM	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KRWB	kwbq.com	Albuquerque	NM	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KWBQ	kwbq.com	Albuquerque	NM	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KASY	kwbq.com	Albuquerque	NM	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KRWB	kwbq.com	Albuquerque	NM	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WAVY	wavy.com	Norfolk	VA	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WVBT	wavy.com	Norfolk	VA	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WATN	localmemphis.com	Memphis	TN	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WLMT	localmemphis.com	Memphis	TN	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WPRI	wpri.com	Providence	RI	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WNAC	foxprovidence.com	Providence	RI	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WIVB	wivb.com	Buffalo	NY	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WNLO	cw23.com	Buffalo	NY	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KSEE	yourcentralvalley.com	Fresno	CA	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KGPE	yourcentralvalley.com	Fresno	CA	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WRIC	wric.com	Richmond	VA	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WBRE	pahomepage.com	Wilkes-Barre / Scranton	PA	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WYOU	pahomepage.com	Wilkes-Barre / Scranton	PA	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KARK	kark.com	Little Rock / Pine Bluff	AR	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KARZ	kark.com	Little Rock / Pine Bluff	AR	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KLRT	fox16.com	Little Rock / Pine Bluff	AR	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KASN 	cwarkansas.com	Little Rock / Pine Bluff	AR	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WKRG	wkrg.com	Mobile	AL	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WFNA	wkrg.com	Mobile	AL	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WTEN	news10.com	Albany	NY	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WXXA	fox23albany.com	Albany	NY	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WATE	wate.com	Knoxville	TN	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WDTN	wdtn.com	Dayton	OH	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WBDT	daytonscw.com	Dayton	OH	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KHON	khon2.com	Honolulu	HI	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
