city	id	owner	state	station_info	station_name	subchannels	website	source	collection_date
 Philadelphia	" ""6 ABC"""	 ABC	PA	 Digital Full-Power - 7.56 kW	WPVI	 6.1 WPVI/ABC, 6.2 Live Well HD, 6.3 News	http://www.wpvi.com/	stationindex	2018-08-02 14:55:24.612585
 Philadelphia	" ""NBC 10"""	 NBC Universal	PA	 Digital Full-Power - 700 kW	WCAU	 10.1 WCAU/NBC, 10.2 Cozi TV	http://www.nbcphiladelphia.com/	stationindex	2018-08-02 14:55:24.612585
 Wilmington		 WHYY, Inc.	DE	 Digital Educational Full-Power - 20 kW	WHYY		http://www.whyy.org/	stationindex	2018-08-02 14:55:24.612585
 Philadelphia	" ""My phl 17"""	 Tribune	PA	 Digital Full-Power - 645 kW	WPHL	 17.1 WPHL/My Network TV, 17.2 This TV	http://myphl17.com/	stationindex	2018-08-02 14:55:24.612585
 Camden	" ""NJTV"""	 New Jersey Public Broadcasting Authority	NJ	 Digital Educational Full-Power - 197 kW	WNJS		http://www.njtvonline.org/	stationindex	2018-08-02 14:55:24.612585
 Philadelphia	" ""FOX 29"""	 Fox Television Stations	PA	 Digital Full-Power - 1000 kW	WTXF		http://www.fox29.com/	stationindex	2018-08-02 14:55:24.612585
 Philadelphia		 Independence Media	PA	 Digital Educational Full-Power - 500 kW	WYBE		http://www.wybe.org/	stationindex	2018-08-02 14:55:24.612585
 Darby	" ""Cornerstone TV"""	 Mako Communications	PA	 Digital Low-Power - 3.8 kW	W36DO-D			stationindex	2018-08-02 14:55:24.612585
 Philadelphia		 DTV, LLC	PA	 Digital Class-A - 3 kW	WPHA-CD	 38.1 Infomercials, 38.2 Infomercials, 38.3 Infomercials, 38.4 Infomercials		stationindex	2018-08-02 14:55:24.612585
 Allentown		 Lehigh Valley Public Telecommunications Corporation	PA	 Digital Educational Full-Power - 52 kW	WLVT		http://www.wlvt.org/	stationindex	2018-08-02 14:55:24.612585
 Atlantic City		 Lenfest Broadcasting	NJ	 Digital Full-Power - 200 kW	WMCN			stationindex	2018-08-02 14:55:24.612585
 Burlington		 Trinity Broadcasting Network	NJ	 Digital Full-Power - 160 kW	WGTW	 48.1 WGTW/TBN, 48.2 Church Channel, 48.3 JCTV, 48.4 Enlace USA, 48.5 Smile of a Child	http://www.tbn.org/	stationindex	2018-08-02 14:55:24.612585
 Reading		 WRNN License Company	PA	 Digital Full-Power - 126 kW	WTVE			stationindex	2018-08-02 14:55:24.612585
 Trenton	" ""NJTV"""	 New Jersey Public Broadcasting Authority	NJ	 Digital Educational Full-Power - 59.4 kW	WNJT	 52.1 NJTV	http://www.njtvonline.org/	stationindex	2018-08-02 14:55:24.612585
 Philadelphia	" ""The CW Philly"""	 CBS Corporation	PA	 Digital Full-Power - 250 kW	WPSG		http://cwphilly.cbslocal.com/	stationindex	2018-08-02 14:55:24.612585
 Bethlehem		 Sonshine Family Television	PA	 Digital Full-Power - 3.2 kW	WBPH		http://www.wbph.org/	stationindex	2018-08-02 14:55:24.612585
 Wilmington		 Ion Media Networks	DE	 Digital Full-Power - 200 kW	WPPX	 61.1 Ion, 61.2 Qubo, 61.3 Ion Life, 61.4 Ion Shop, 61.5 QVC, 61.6 HSN		stationindex	2018-08-02 14:55:24.612585
 Atlantic City	" ""Telemundo Philadelphia"""	 ZGS Communications	NJ	 Digital Full-Power - 130 kW	WWSI			stationindex	2018-08-02 14:55:24.612585
 Vineland		 Univision Communications	NJ	 Digital Full-Power - 335 kW	WUVP			stationindex	2018-08-02 14:55:24.612585
 Allentown		 Maranatha Broadcasting Company	PA	 Digital Full-Power - 400 kW	WFMZ		http://www.wfmz.com/	stationindex	2018-08-02 14:55:24.612585
 Denton		 Daystar Television Network	TX	 Digital Educational Full-Power - 1000 kW	KDTN			stationindex	2018-08-02 14:55:24.612585
 De Soto		 Mako Communications	TX	 Digital Low-Power - 0.3 kW	KHPK-LP	 3.1 KHPK, 3.2 AMG TV, 3.3 White Springs Television, 3.4 America One		stationindex	2018-08-02 14:55:24.612585
 Dallas	" ""FOX 4"""	 Fox Television Stations	TX	 Digital Full-Power - 857 kW	KDFW		http://www.fox4news.com/	stationindex	2018-08-02 14:55:24.612585
 Fort Worth	" ""NBC 5"""	 NBC Universal	TX	 Digital Full-Power - 891 kW	KXAS	 5.1 KXAS/NBC, 5.2 Cozi TV	http://www.nbcdfw.com/	stationindex	2018-08-02 14:55:24.612585
 Dallas		 Tegna Media	TX	 Digital Full-Power - 45 kW	WFAA		http://www.wfaa.com/	stationindex	2018-08-02 14:55:24.612585
 Fort Worth	" ""CBS 11"""	 CBS Corporation	TX	 Digital Full-Power - 23 kW	KTVT		http://dfw.cbslocal.com/	stationindex	2018-08-02 14:55:24.612585
 Dallas		 North Texas Public Broadcasting	TX	 Digital Educational Full-Power - 475 kW	KERA		http://www.kera.org/	stationindex	2018-08-02 14:55:24.612585
 Fort Worth	" ""TXA 21"""	 CBS Corporation	TX	 Digital Full-Power - 750 kW	KTXA		http://dfw.cbslocal.com/	stationindex	2018-08-02 14:55:24.612585
 Garland		 Univision Communications	TX	 Digital Full-Power - 1000 kW	KUVN			stationindex	2018-08-02 14:55:24.612585
 Britton		 Mako Communications	TX	 Low-Power - 100 kW	KODF-LP			stationindex	2018-08-02 14:55:24.612585
 Dallas	" ""Fox 4 More"""	 Fox Television Stations	TX	 Digital Full-Power - 1000 kW	KDFI	 27.1 MyNetworkTV, 27.2 Movies!, 27.3 Buzzr, 27.4 Heroes & Icons, 27.5 Light TV	http://www.fox4news.com/kdfi-my27	stationindex	2018-08-02 14:55:24.612585
 Decatur	" ""Estrella TV KMPX 29"""	 Liberman Broadcasting	TX	 Digital Full-Power - 1000 kW	KMPX	 29.1 KMPX/Estrella TV		stationindex	2018-08-02 14:55:24.612585
 Dallas	" ""The 33"""	 Tribune	TX	 Digital Full-Power - 780 kW	KDAF	 33.1 KDAF/CW, 33.2 LATV	http://www.the33tv.com/	stationindex	2018-08-02 14:55:24.612585
 Dallas & Mesquite		 Mako Communications	TX	 Digital Low-Power	KJJM-LP	 34.1 KJJM, 34.2 Spanish Programming, 34.3 (Blank), 34.4 (Blank)		stationindex	2018-08-02 14:55:24.612585
 Fort Worth		 Gerald Benavides	TX	 Low-Power - 15 kW	KVFW-LD			stationindex	2018-08-02 14:55:24.612585
 Dallas	" ""Telemundo 39"""	 NBC Universal	TX	 Digital Full-Power - 1000 kW	KXTX		http://www.telemundodallas.com/	stationindex	2018-08-02 14:55:24.612585
 Greenville		 Simons Broadcasting	TX	 Digital Full-Power - 600 kW	KTAQ	 47.1 KTAQ, 47.2 Universal Access Network, 47.3 Mexicanal		stationindex	2018-08-02 14:55:24.612585
 Irving	" ""Unimas 49"""	 Univision Communications	TX	 Digital Full-Power - 225 kW	KSTR	 49.1 KSTR/Unimas, 49.2 GetTV, 49.3 Grit TV		stationindex	2018-08-02 14:55:24.612585
 Fort Worth	" ""Sonlife Broadcasting Network"""	 NRJ Holdings	TX	 Digital Full-Power - 55 kW	KFWD	 52.1 KFWD/Sonlife Broadcasting Network, 52.2 Viene (Spanish religious), 52.3 QVC Plus, 52.4 Evine (Shopping), 52.5 HSN Home Shopping Network		stationindex	2018-08-02 14:55:24.612585
 Lake Dallas		 Northstar Media	TX	 Digital Full-Power - 1000 kW	KAZD	 55.1 KAZD/Azteca America, 55.2 Infomercials, 55.3 BizTV, 55.4 LATV		stationindex	2018-08-02 14:55:24.612585
 Dallas		 Trinity Broadcasting Network	TX	 Digital Full-Power - 1000 kW	KDTX	 58.1 KDTX/TBN, 58.2 Church Channel, 58.3 JCTV, 58.4 Enlace USA, 58.5 Smile of a Child	http://www.tbn.org/	stationindex	2018-08-02 14:55:24.612585
 Arlington		 Ion Media Networks	TX	 Digital Full-Power - 1000 kW	KPXD	 68.1 Ion, 68.2 Qubo, 68.3 Ion Life, 68.4 Ion Shop, 68.5 QVC, 68.6 HSN		stationindex	2018-08-02 14:55:24.612585
 Santa Clara-San Jose		 OTA Broadcasting	CA	 Digital Class-A Low-Power - 15 kW	KAXT-CD	 1.1 WeatherNation TV, 1.2 Tele Romantica, 1.3 Diya TV, 1.4 Bounce TV, 1.5 Que Huong TV, 1.6 NetV, 1.7 EMTV, 1.8 PNOI TV, 1.9 TVHS, 1.10 Tiempos Finales, 1.11 Jewelry TV, 1.12 TheCoolTV		stationindex	2018-08-02 14:55:24.612585
 Oakland		 Fox Television Stations	CA	 Digital Full-Power - 1000 kW	KTVU	 2.1 KTVU/FOX, 2.2 LATV	http://www.ktvu.com/	stationindex	2018-08-02 14:55:24.612585
